clave,articulo,detalle,necesario,cotizado,estado,precio_EUR,en_bom
banda_530LBP_18in,P5324010018A,cotizado cubre ~2× (repuesto/futuras líneas); rollos de 1.5 m,43.52,90.3,cubierto por cotización,174.85,Banda Movex 530 LBP 18 in — lazo 10.88 m… ×4
banda_530GT_18in,P5323010018A,,10.24,18,cubierto por cotización,243.18,Banda Movex 530 GT (friction top) 18 in … ×4
sprockets_Z32_cuadrado15,P158808YF,rueda moldeada Z-32 c/grano M8; LBP 5+2 · GT 6+2 por transportador,60,152,cubierto por cotización,17.42,"Sprocket P158808YF moldeado Z-32, bore c… ×44 | Sprocket Z32 loco (flotante +0.4/+0.3, g… ×16"
collarines,P21703Y,2 por eje: motriz flanquean el sprocket central FIJO; tensor flanquean el sprocket de REFERENCIA (−Y),32,60,cubierto por cotización,2.32,Collarín P21703Y (fija el sprocket centr… ×16 | Collarín P21703Y (referencia eje tensor)… ×16
nosebar_LBP,P22868,"h19 C/RODAMIENTOS, L=6 in: 3 por punta × 2 puntas × 4 LBP",24,51,cubierto por cotización,38.73,"Nosebar descarga 18 in (3× K6 in, montaj… ×12 | Nosebar entrada 18 in (3× K6 in, montaje… ×12"
nosebar_GT,P22862,"transfer plate C/RODAMIENTOS h19, L=6 in",24,51,cubierto por cotización,31,"Nosebar descarga 18 in (3× K6 in, transf… ×12 | Nosebar entrada 18 in (3× K6 in, transfe… ×12"
bar_cap,P101203-30,BAR CAP UHMW 17.53×19.05 p/pletina 12 — guía de APOYO enrollable (rollo 30 m),215.84,360,cubierto por cotización,6.96,Guía de apoyo: pletina 12×30 + BAR CAP 1… ×68
conical_rail_T1,P12201C,T-shape 1 in blanco/acero 1.5 — guía lateral/apoyo según layout,,156,sin necesario declarado,17.14,
conical_rail_T40,P12401C,T-shape 40 mm Ti-WHITE AISI304,,105,sin necesario declarado,18.63,
conical_rail_L114,P12501C,L-shape 1¼ in Ti-WHITE AISI304 — guía LATERAL del modelo,44.48,105,cubierto por cotización,23.08,Guía lateral conical rail L 1¼ in (P1250… ×16
